Seat Number,SGPA,Information & Storage Retrieval,Software Project MaNAgement,Deep Learning,Smart Computing,Introduction to DevOps,Lab Practice III,Lab Practice IV,Project Stage I,Copyrights and Patents,Mobile Computing,Wireless Communication
B1903108566,9,73,76,77,0,0,76,90,84,0,72,60
B1903108568,8.8,70,71,64,0,0,90,92,90,0,65,61
B1903108569,7.9,58,65,54,68,59,86,92,88,0,0,0
B1903108570,8.8,75,66,67,0,0,84,86,86,0,63,70
B1903108571,0,0,0,0,0,0,82,70,60,0,0,40
B1903108572,9.1,74,64,71,76,76,84,90,90,0,0,0
B1903108573,9.25,81,66,71,77,73,86,88,80,0,0,0
B1903108574,8.8,68,64,69,79,73,86,92,88,0,0,0
B1903108857,9,72,68,73,76,75,84,86,74,0,0,0
B1903108576,8.95,77,58,72,84,0,84,92,86,0,0,66
B1903108577,8.95,73,66,73,80,0,88,86,84,0,0,56
B1903108578,7.65,55,49,57,69,66,86,86,76,0,0,0
B1903108579,7.55,51,55,65,64,54,76,90,78,0,0,0
B1903108580,9.4,80,67,73,80,77,86,86,88,0,0,0
B1903108581,9.25,80,69,71,72,77,88,88,90,0,0,0
B1903108582,8.95,75,68,73,74,0,82,82,86,0,0,67
B1903108583,9.1,75,71,69,74,77,84,82,80,0,0,0
B1903108584,8.8,75,62,71,69,67,82,84,86,0,0,0
B1903108585,9.1,79,64,76,0,0,92,90,88,0,77,71
B1903108586,9.15,78,67,71,75,80,84,86,72,0,0,0
B1903108587,9.1,78,63,70,0,75,86,84,80,0,72,0
B1903108588,7.9,62,53,57,61,66,78,78,86,0,0,0
B1903108589,8.8,68,72,61,69,77,92,82,86,0,0,0
B1903108890,8.45,74,63,69,0,0,82,76,86,0,64,57
B1903108591,8.65,74,66,65,64,66,86,86,92,0,0,0
B1903108592,9.25,77,76,74,76,79,90,84,86,0,0,0
B1903108593,9.1,72,68,75,76,72,86,88,94,0,0,0
B1903108594,8.35,70,55,51,81,67,90,76,74,0,0,0
B1903108595,9.25,79,70,79,79,76,82,86,84,0,0,0
B1903108596,8.95,72,61,70,70,69,86,92,82,0,0,0
B1903108597,8.8,78,64,65,68,79,96,88,84,0,0,0
B1903108598,8.5,60,57,60,77,65,80,82,82,0,0,0
B1903108599,9.1,71,66,68,75,81,84,86,84,0,0,0
B19031086NA,7.3,52,44,57,63,63,80,78,72,0,0,0
B1903108601,8.95,72,62,66,78,77,88,92,80,0,0,0
B1903108602,8.2,69,52,64,70,55,84,84,86,0,0,0
B1903108603,9.25,74,69,70,79,81,90,90,94,0,0,0
B1903108604,9.25,73,68,72,75,80,92,94,90,0,0,0
B1903108605,9.4,82,69,70,81,79,96,88,86,0,0,0
B1903108606,8.5,56,66,63,67,71,84,82,92,0,0,0
B1903108607,8.55,59,71,63,70,69,76,80,82,0,0,0
B1903108608,9.3,80,71,75,78,78,78,82,80,0,0,0
B1903108609,8.7,75,70,69,64,64,76,86,86,0,0,0
B1903108610,9.4,82,74,78,77,77,90,88,84,0,0,0
B1903108611,9.25,78,78,72,78,76,90,90,84,0,0,0
B1903108612,7.05,61,58,56,49,47,74,78,76,0,0,0
B1903108613,8.95,76,75,78,72,64,90,78,78,0,0,0
B1903108614,9.4,82,80,72,71,66,90,92,88,0,0,0
B1903108615,8.65,71,71,58,61,67,90,82,84,0,0,0
B1903108616,8.8,75,67,71,66,65,82,82,86,0,0,0
B1903108617,8.95,75,60,75,77,67,80,86,80,0,0,0
B1903108618,8.85,75,74,74,0,0,78,86,88,0,67,69
B1903108619,9.55,80,72,73,78,80,82,92,86,0,0,0
B1903108620,8.8,70,72,68,0,0,82,90,0,0,68,66
B1903108621,0,40,47,50,50,43,70,90,68,0,0,0
B1903108622,9.4,74,76,76,76,80,86,92,90,0,0,0
B1903108623,9.4,76,72,72,70,80,82,92,86,0,0,0
B1903108624,9.15,79,77,78,0,0,82,86,0,0,74,73
B1903108625,6.55,43,45,43,57,0,76,86,72,0,0,40
B1903108626,8.95,69,76,70,66,74,86,90,92,0,0,0
B1903108627,8.4,59,66,67,67,74,78,80,86,0,0,0
B1903108628,9.4,74,74,80,73,76,90,86,84,0,0,0
B1903108629,8.9,74,72,69,70,71,74,82,76,0,0,0
B1903108630,8.5,65,70,66,71,79,68,70,66,0,0,0
B1903108631,8.95,65,76,64,71,70,90,88,90,0,0,0
B1903108632,8.45,61,62,56,67,71,80,70,82,0,0,0
B1903108633,8.4,69,62,61,70,57,76,92,82,0,0,0
B1903108634,7.2,53,52,62,0,0,76,92,82,0,56,45
B1903108635,8.7,67,68,76,77,69,82,82,76,0,0,0
B1903108636,8.7,62,70,74,74,62,80,78,76,0,0,0
B1903108637,8.25,58,60,67,79,68,76,78,76,0,0,0
B1903108638,6.55,48,54,47,54,48,82,80,84,0,0,0
B1903108639,0,47,47,53,54,56,66,74,76,0,0,0
B1903108640,7.15,62,60,59,46,44,72,78,82,0,0,0
B1903108641,8.8,68,70,69,72,67,84,88,86,0,0,0
B1903108642,8.1,67,53,66,75,75,72,50,78,0,0,0
B1903108643,6.1,59,47,53,48,59,72,54,44,0,0,0
